OTU	.y.	p	p.adj	p.format	p.signif	method	Kingdom	Phylum	Class	Order	Family	Genus	Species	Confidence	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	Type	mean	sd	n	se	rel_abun	se2
e4770b3baf153484243ad1e59435484e	value	2.12E-05	0.0023	2.10E-05	****	Kruskal-Wallis	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__uncultured	 f__uncultured	 c__Alphaproteobacteria	 s__Rhodospirillaceae_bacterium	0.897883886	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	High N	0.44	1.044030651	25	0.041761226	0.001710066	0.004176123
e4770b3baf153484243ad1e59435484e	value	2.12E-05	0.0023	2.10E-05	****	Kruskal-Wallis	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__uncultured	 f__uncultured	 c__Alphaproteobacteria	 s__Rhodospirillaceae_bacterium	0.897883886	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Low N	3.764705882	3.326586309	17	0.195681548	0.014631581	0.019568155
4da43e64e6ba8a5596f14ddb6e70b492	value	0.000144186	0.0067	0.00014	***	Kruskal-Wallis	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	NA	NA	 c__Gammaproteobacteria	NA	0.9992761	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Low N	0.117647059	0.48507125	17	0.028533603	0.000457237	0.00285336
4da43e64e6ba8a5596f14ddb6e70b492	value	0.000144186	0.0067	0.00014	***	Kruskal-Wallis	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	NA	NA	 c__Gammaproteobacteria	NA	0.9992761	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	High N	2.48	3.083828789	25	0.123353152	0.009638554	0.012335315
c33c6d30bf0f8e63e26d1ab45bf699a9	value	0.000171303	0.0075	0.00017	***	Kruskal-Wallis	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	NA	NA	 c__Gammaproteobacteria	NA	0.999463633	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Low N	0.411764706	0.939336437	17	0.055255085	0.001600329	0.005525508
c33c6d30bf0f8e63e26d1ab45bf699a9	value	0.000171303	0.0075	0.00017	***	Kruskal-Wallis	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	NA	NA	 c__Gammaproteobacteria	NA	0.999463633	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	High N	2.28	1.620699437	25	0.064827977	0.008861251	0.006482798
f0d34c68218d2b5deed6d70007a27895	value	0.000252116	0.0089	0.00025	***	Kruskal-Wallis	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	NA	NA	 c__Gammaproteobacteria	NA	0.998205174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Low N	1	1.224744871	17	0.072043816	0.003886514	0.007204382
f0d34c68218d2b5deed6d70007a27895	value	0.000252116	0.0089	0.00025	***	Kruskal-Wallis	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	NA	NA	 c__Gammaproteobacteria	NA	0.998205174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	High N	0.04	0.2	25	0.008	0.000155461	8.00E-04
fb4d5552666eb58d11810677563f660c	value	0.000266378	0.0093	0.00027	***	Kruskal-Wallis	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	NA	NA	 c__Gammaproteobacteria	NA	0.999999993	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Low N	0.470588235	1.124591429	17	0.066152437	0.001828948	0.006615244
fb4d5552666eb58d11810677563f660c	value	0.000266378	0.0093	0.00027	***	Kruskal-Wallis	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	NA	NA	 c__Gammaproteobacteria	NA	0.999999993	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	High N	2.72	2.574231277	25	0.102969251	0.010571318	0.010296925
23cce3389b8259f06092d54117f7a137	value	6.86E-05	0.0042	6.90E-05	****	Kruskal-Wallis	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Acetobacterales	 f__Acetobacteraceae	 f__Acetobacteraceae	 s__metagenome	0.855465954	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	High N	0.04	0.2	25	0.008	0.000155461	8.00E-04
23cce3389b8259f06092d54117f7a137	value	6.86E-05	0.0042	6.90E-05	****	Kruskal-Wallis	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Acetobacterales	 f__Acetobacteraceae	 f__Acetobacteraceae	 s__metagenome	0.855465954	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Low N	1.294117647	1.358524286	17	0.079913193	0.005029606	0.007991319
ed4e8c4cc449cbe5177f1ed8c06d90ea	value	0.000111145	0.0059	0.00011	***	Kruskal-Wallis	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Acetobacterales	 f__Acetobacteraceae	 f__Acetobacteraceae	 s__uncultured_proteobacterium	0.874988938	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	High N	0.08	0.4	25	0.016	0.000310921	0.0016
ed4e8c4cc449cbe5177f1ed8c06d90ea	value	0.000111145	0.0059	0.00011	***	Kruskal-Wallis	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Acetobacterales	 f__Acetobacteraceae	 f__Acetobacteraceae	 s__uncultured_proteobacterium	0.874988938	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Low N	1.235294118	1.347655917	17	0.079273877	0.004800988	0.007927388
04e85c02017ef5600567605d7e2bf050	value	2.23E-05	0.0023	2.20E-05	****	Kruskal-Wallis	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Beijerinckiaceae	 f__Beijerinckiaceae	NA	0.959583966	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	High N	5	4.453463072	25	0.178138523	0.019432569	0.017813852
